SIRUTA,LN_Pop2018_Pop2011,PopAdj,Pop2011Offset,EmpPublic,EmpLocal,EmpForeign,EmpForeign_BusinessServices,EmpLocal_BusinessServices,EmpForeign_Manufacturing,EmpLocal_Manufacturing,EmpForeign_BusServ_Core,EmpForeign_BusServ_CoreofPeri,EmpForeign_BusServ_Periurban,EmpForeign_BusServ_Village,EmpLocal_BusServ_Core,EmpLocal_BusServ_CoreofPeri,EmpLocal_BusServ_Periurban,EmpLocal_BusServ_Village,EmpForeign_Man_Core,EmpForeign_Man_CoreofPeri,EmpForeign_Man_Periurban,EmpForeign_Man_Village,EmpLocal_Man_Core,EmpLocal_Man_CoreofPeri,EmpLocal_Man_Periurban,EmpLocal_Man_Village,D_PIT_USDdef,D_Turnover_USDdef
1017,0.017143859,74304,11.19877621,0.057850399,0.362872375,0.148726192,0.012899768,0.130534215,0.192781847,0.165981776,0.012899768,0,0,0,0.130534215,0,0,0,0.192781847,0,0,0,0.165981776,0,0,0,0.016694106,0.48522234
1071,0.059470554,3031,7.957177323,0.011536445,0.413214473,0.01363398,0.014354067,0.077751196,0.007177033,0.10645933,0,0.012899768,0.014354067,0,0,0.130534215,0.077751196,0,0,0.192781847,0.007177033,0,0,0.165981776,0.10645933,0,1.017032047,0.635149246
1151,-0.083881484,5360,8.670600738,0.045663334,0.134017833,0.004593353,0.001466276,0.068914956,0.023460411,0.070381232,0.001466276,0,0,0,0.068914956,0,0,0,0.023460411,0,0,0,0.070381232,0,0,0,0.338134206,0.228254461
1213,-0.052655684,25746,10.20869024,0.037417019,0.198068799,0.051961376,0.002729372,0.077892085,0.157463783,0.213310938,0.002729372,0,0,0,0.077892085,0,0,0,0.157463783,0,0,0,0.213310938,0,0,0,0.132255854,0.678555718
1348,-0.031411731,20777,9.973013615,0.046074028,0.220768159,0.278380053,0.009799744,0.025138475,0.480329499,0.210481466,0.009799744,0,0,0,0.025138475,0,0,0,0.480329499,0,0,0,0.210481466,0,0,0,0.140920675,1.592627117
1455,-0.074893014,7458,8.991935575,0.067271977,0.256500206,0.000619067,0.001908397,0.047709924,0,0.325699746,0.001908397,0,0,0,0.047709924,0,0,0,0,0,0,0,0.325699746,0,0,0,0.159075099,-0.012820082
1696,-0.071299843,26007,10.23742085,0.02420666,0.240260131,0.100258927,0.002476474,0.043090639,0.265973254,0.491167245,0.002476474,0,0,0,0.043090639,0,0,0,0.265973254,0,0,0,0.491167245,0,0,0,0.338764971,0.577758683
1794,-0.066537678,14273,9.632662597,0.021009337,0.149288573,0.026678524,0.000564334,0.116252822,0.041760722,0.186794582,0,0.002729372,0.000564334,0,0,0.077892085,0.116252822,0,0,0.157463783,0.041760722,0,0,0.213310938,0.186794582,0,0.527984178,0.860143228
1874,0.002436055,32469,10.38560501,0.035405079,0.33949214,0.27376058,0.001938707,0.045857878,0.374841548,0.164193572,0,0.012899768,0.001938707,0,0,0.130534215,0.045857878,0,0,0.192781847,0.374841548,0,0,0.165981776,0.164193572,0,0.358564749,1.095583096
1936,-0.049072962,7913,9.025335218,0.019803922,0.130784314,0.042156863,0,0.042726348,0.215666328,0.186164802,0,0,0,0,0.042726348,0,0,0,0.215666328,0,0,0,0.186164802,0,0,0,0.108751524,0.27918237
