SIRUTA,Yhat.Pop2018
179132,2045966
155243,325738.4
60419,324857.9
54975,321162.6
95060,315681.3
69900,307512.7
75098,297044.7
40198,287681.4
130534,237765.5
26564,226711.7
42682,212311.1
20297,192495.3
9262,184306.3
13169,180946.7
143450,171851.5
114319,152738.9
106318,152064.5
44818,142037.2
136483,125284.6
35731,120450.8
167473,119228.2
146263,117647.5
120726,114240.9
109773,107661.8
77812,96407.28
174744,96141.16
65342,94040.11
32394,92811.02
159614,90849.63
50790,88420.63
125347,86771.66
86810,80726.85
92569,78117.45
1017,73561.56
86687,72427.04
161794,71960.38
161945,70674.2
120860,69959.14
100521,68944.31
139704,68824.27
63394,65137.67
143619,62249.96
55259,56836.27
151790,53958.7
92658,53534.95
20563,53324.59
179551,47653.7
155350,46353.5
86990,45579.7
75203,45120.32
60847,44785.57
106559,43565.52
83320,43152.93
95391,43064.2
60507,42658
60482,41634.5
44845,40244.63
83133,39707.56
40278,39571.06
55008,39496.97
131256,38767.29
114809,38485.37
13490,38320.79
40438,36811.34
1874,36170.58
125472,35376.56
13301,35182.82
92701,34526.61
114514,34159.12
13622,33790.78
151870,32812.52
146628,31185.38
36006,31042.41
146539,30583.9
151683,30164.94
55357,30163.61
161829,30127.96
87175,29896.39
51010,29854.71
100610,28385.33
106746,28295.69
1696,27302.58
87059,26305.51
1213,26200.94
40492,25854.07
114925,25777.7
40241,25403.21
20821,25174.59
136526,24739.84
78141,24738.62
87077,24411.88
179515,24179.42
20876,23585.71
87638,23071.23
55384,22608.83
100576,21728.09
121055,21396.9
179533,21065.79
1348,20968.29
167981,20718.93
125418,20713.71
20778,20526.19
65841,20508.06
60776,20457.21
174860,20206.35
63740,20196.98
83561,19911.69
143735,19903.46
50969,19552.64
130981,19484.75
70316,19456.56
26975,19408.5
146502,19180.41
179481,18856.6
125542,18380.17
26877,18339.79
106979,18291.64
40367,18278.4
100683,17929.05
57706,17896.8
70414,17856.36
70352,17814.54
106684,17798.39
136599,17536.79
114710,17270.3
146744,17070.3
146584,16878.38
139884,16759.58
83632,16689.38
131103,16489.98
131407,16465.72
60687,16407.95
87291,16024.28
13392,15827.29
82895,15791.66
1794,15639.88
92765,15597.75
151978,15499.85
65681,15379.79
65921,15010.69
87665,14836.79
22166,14806.87
151095,14764.14
179285,14751.69
155528,14693.21
11584,14674.62
144054,14637.58
12091,14331.23
131817,13966.48
95159,13898.98
95471,13776.18
51056,13565.4
95293,13537.46
106817,13499.11
179221,13219.58
51118,13155.44
101190,13038.48
61620,12990.15
131336,12989.37
63125,12986.51
87424,12904.81
20965,12843.36
110063,12833.57
9397,12819.62
174922,12774.83
155494,12761.76
13187,12571.76
97919,12446.12
76692,12437.36
26582,12233.4
96254,12225.15
51207,12186.88
72007,12115.33
32483,11928.89
95355,11835.78
125622,11831.39
62360,11829.59
179249,11802.48
101742,11789.98
128711,11766.63
26804,11715.66
30915,11690.05
179383,11669.1
131540,11608.18
37280,11547.62
143682,11541.04
32544,11517.07
130785,11494.97
124206,11489.7
131069,11447.75
35946,11390.65
15108,11388.05
87576,11357.95
131620,11326.98
151905,11273.34
55687,11253.92
131210,11222.64
133161,11222.38
139811,11203.22
47916,11194.29
76969,11126.27
26699,11122.11
63526,11121.38
95872,11120.2
22380,11117.46
110116,11087.73
9574,11077.76
135949,11020.22
43331,10993.38
60801,10991.05
159730,10988.38
146432,10986.41
109826,10946.02
79308,10880.94
134096,10862.43
76674,10855.01
32027,10847.36
32599,10830.4
148006,10740.06
83525,10592.91
13668,10577.14
73736,10470.36
149290,10454.31
130892,10407.16
92587,10394.77
114417,10308.05
66081,10232.84
25068,10217.98
98373,10210.33
55838,10170.46
62191,10155.39
96815,10135.42
60455,10087.25
23715,10084.62
159650,10083.89
149227,10012.42
146370,9988.953
161856,9953.936
13757,9885.272
114854,9883.604
131443,9871.199
130552,9866.509
87139,9866.096
49956,9801.052
130712,9776.951
108473,9760.197
76601,9744.999
130678,9703.572
41667,9600.168
117827,9576.445
175055,9569.321
9538,9560.616
124634,9542.029
63152,9513.5
167179,9493.893
124117,9477.821
175019,9471.647
55446,9433.146
179310,9423.45
20466,9402.58
65431,9400.048
132075,9380.242
75766,9340.355
121732,9311.3
108963,9308.458
93487,9286.151
23797,9263.281
136642,9201.755
100834,9198.039
148426,9170.994
168372,9163.815
63447,9111.613
146655,9100.156
12368,9091.777
50889,9060.917
101298,9055.231
9495,9037.539
145827,9036.637
108348,9029.2
61318,8998.418
179409,8990.453
9459,8956.402
45101,8952.862
125016,8886.266
63580,8880.446
92836,8830.681
120771,8824.335
57902,8812.603
50102,8804.749
40465,8757.144
123521,8690.02
40214,8668.124
133330,8592.435
143806,8575.709
102794,8559.31
120968,8523.655
158314,8509.873
68468,8487.748
167909,8466.016
82617,8464.097
47373,8448.438
67407,8434.876
178821,8402.828
78329,8399.695
114382,8381.621
42003,8369.702
179347,8362.937
123914,8355.594
147633,8351.571
83464,8328.505
73996,8322.276
123479,8312.824
33621,8291.437
106461,8289.227
92961,8273.135
134942,8264.975
133214,8257.948
60534,8248.938
158564,8237.125
66198,8224.255
155314,8188.911
65609,8163.631
48325,8125.72
155289,8108.528
13276,8099.799
104831,8087.057
155403,8083.972
70502,8064.685
98685,8063.53
30568,7996.283
31789,7986.899
36060,7945.862
24631,7941.884
33248,7935.97
1936,7894.546
1455,7893.712
139740,7885.032
60570,7881.124
96478,7873.853
24766,7873.218
153507,7853.325
105936,7849.883
8096,7849.133
26840,7845.145
9654,7832.842
9627,7820.075
83749,7814.826
101804,7812.846
21196,7804.56
119894,7794.884
98505,7783.642
79004,7768.069
164981,7756.79
120888,7737.325
99780,7736.954
39872,7708.121
179463,7707.142
149316,7701.564
143557,7694.741
100969,7681.174
66697,7669.062
139170,7654.442
66857,7654.347
38063,7629.982
102543,7621.198
75953,7618.546
102570,7616.18
75258,7562.975
147134,7519.933
77331,7513.323
150588,7475.362
109176,7462.407
21506,7452.241
120824,7450.974
98998,7448.272
73335,7446.934
132404,7446.728
76157,7441.932
48744,7436.511
47453,7436.053
99673,7420.218
97679,7414.492
105623,7391.034
101458,7389.786
