SIRUTA,Year,Core,Periurban,Village,Transilvania,Valachia,Moldavia,PopAdj,EmpPublic,EmpLocal,EmpForeign,EmpForeign_BusinessServices,EmpLocal_BusinessServices,EmpForeign_Manufacturing,EmpLocal_Manufacturing,EmpForeign_BusServ_Core,EmpForeign_BusServ_CoreofPeri,EmpForeign_BusServ_Periurban,EmpForeign_BusServ_Village,EmpLocal_BusServ_Core,EmpLocal_BusServ_CoreofPeri,EmpLocal_BusServ_Periurban,EmpLocal_BusServ_Village,EmpForeign_Man_Core,EmpForeign_Man_CoreofPeri,EmpForeign_Man_Periurban,EmpForeign_Man_Village,EmpLocal_Man_Core,EmpLocal_Man_CoreofPeri,EmpLocal_Man_Periurban,EmpLocal_Man_Village,Pop2011Offset,D_PIT_USDdef,D_Turnover_USDdef,LN_Pop2018_Pop2011,Locality Type,Longitude,Latitude
1017,2018,1,0,0,1,0,0,74304,0.057850399,0.362872375,0.148726192,0.012899768,0.130534215,0.192781847,0.165981776,0.012899768,0,0,0,0.130534215,0,0,0,0.192781847,0,0,0,0.165981776,0,0,0,11.19877621,0.016694106,0.48522234,0.017143859,Core,23.5642138,46.07010832
1071,2018,0,1,0,1,0,0,3031,0.011536445,0.413214473,0.01363398,0.014354067,0.077751196,0.007177033,0.10645933,0,0.012899768,0.014354067,0,0,0.130534215,0.077751196,0,0,0.192781847,0.007177033,0,0,0.165981776,0.10645933,0,7.957177323,1.017032047,0.635149246,0.059470554,Periurban,23.63402462,46.06882859
1151,2018,1,0,0,1,0,0,5360,0.045663334,0.134017833,0.004593353,0.001466276,0.068914956,0.023460411,0.070381232,0.001466276,0,0,0,0.068914956,0,0,0,0.023460411,0,0,0,0.070381232,0,0,0,8.670600738,0.338134206,0.228254461,-0.083881484,Core,23.06023146,46.27039943
1213,2018,1,0,0,1,0,0,25746,0.037417019,0.198068799,0.051961376,0.002729372,0.077892085,0.157463783,0.213310938,0.002729372,0,0,0,0.077892085,0,0,0,0.157463783,0,0,0,0.213310938,0,0,0,10.20869024,0.132255854,0.678555718,-0.052655684,Core,23.69647096,46.30719436
1348,2018,1,0,0,1,0,0,20777,0.046074028,0.220768159,0.278380053,0.009799744,0.025138475,0.480329499,0.210481466,0.009799744,0,0,0,0.025138475,0,0,0,0.480329499,0,0,0,0.210481466,0,0,0,9.973013615,0.140920675,1.592627117,-0.031411731,Core,23.92902038,46.14985929
1455,2018,1,0,0,1,0,0,7458,0.067271977,0.256500206,0.000619067,0.001908397,0.047709924,0,0.325699746,0.001908397,0,0,0,0.047709924,0,0,0,0,0,0,0,0.325699746,0,0,0,8.991935575,0.159075099,-0.012820082,-0.074893014,Core,23.05354498,46.40632766
1696,2018,1,0,0,1,0,0,26007,0.02420666,0.240260131,0.100258927,0.002476474,0.043090639,0.265973254,0.491167245,0.002476474,0,0,0,0.043090639,0,0,0,0.265973254,0,0,0,0.491167245,0,0,0,10.23742085,0.338764971,0.577758683,-0.071299843,Core,23.4252107,45.74892436
1794,2018,0,1,0,1,0,0,14273,0.021009337,0.149288573,0.026678524,0.000564334,0.116252822,0.041760722,0.186794582,0,0.002729372,0.000564334,0,0,0.077892085,0.116252822,0,0,0.157463783,0.041760722,0,0,0.213310938,0.186794582,0,9.632662597,0.527984178,0.860143228,-0.066537678,Periurban,23.84588819,46.38563716
1874,2018,0,1,0,1,0,0,32469,0.035405079,0.33949214,0.27376058,0.001938707,0.045857878,0.374841548,0.164193572,0,0.012899768,0.001938707,0,0,0.130534215,0.045857878,0,0,0.192781847,0.374841548,0,0,0.165981776,0.164193572,0,10.38560501,0.358564749,1.095583096,0.002436055,Periurban,23.56627386,45.94866742
1936,2018,1,0,0,1,0,0,7913,0.019803922,0.130784314,0.042156863,0,0.042726348,0.215666328,0.186164802,0,0,0,0,0.042726348,0,0,0,0.215666328,0,0,0,0.186164802,0,0,0,9.025335218,0.108751524,0.27918237,-0.049072962,Core,23.20422474,46.13867369
2130,2018,0,1,0,1,0,0,2066,0.033884949,0.088258471,0,0,0.232258065,0,0.296774194,0,0.001908397,0,0,0,0.047709924,0.232258065,0,0,0,0,0,0,0.325699746,0.296774194,0,7.688913337,0.60700023,0.597325501,-0.055543687,Periurban,22.95626985,46.47075543
2309,2018,0,1,0,1,0,0,1237,0.031636864,0.209078404,0,0,0.005714286,0,0.062857143,0,0,0,0,0,0.042726348,0.005714286,0,0,0.215666328,0,0,0,0.186164802,0.062857143,0,7.212294469,0.232297656,0.971727066,-0.091850096,Periurban,23.13738493,46.08013339
2381,2018,0,0,1,1,0,0,1667,0.029469548,0.077603143,0,0,0.302752294,0,0.04587156,0,0,0,0,0,0,0,0.302752294,0,0,0,0,0,0,0,0.04587156,7.488293515,0.929834598,1.214893344,-0.069512632,Village,22.7492211,46.50255677
2577,2018,0,0,1,1,0,0,1503,0.028436019,0.061611374,0,0,0.039473684,0,0.236842105,0,0,0,0,0,0,0,0.039473684,0,0,0,0,0,0,0,0.236842105,7.424165281,0.529615171,1.07302981,-0.108946891,Village,22.7999167,46.37204284
2915,2018,1,0,0,1,0,0,3917,0.02186805,0.137509266,0,0,0.051162791,0,0.406976744,0,0,0,0,0.051162791,0,0,0,0,0,0,0,0.406976744,0,0,0,8.389132521,-0.167689588,0.235541666,-0.116051188,Core,23.29194225,46.38246427
2988,2018,0,0,1,1,0,0,1994,0.018998273,0.052677029,0.000863558,0,0.083333333,0,0.226190476,0,0,0,0,0,0,0,0.083333333,0,0,0,0,0,0,0,0.226190476,7.65349491,0.245488816,-0.507242347,-0.055596959,Village,23.72725495,46.06914379
3039,2018,0,1,0,1,0,0,4706,0.013911356,0.132319638,0.00032352,0.002207506,0.059602649,0,0.185430464,0,0.001908397,0.002207506,0,0,0.047709924,0.059602649,0,0,0,0,0,0,0.325699746,0.185430464,0,8.510168576,0.619906741,-0.200955527,-0.053575007,Periurban,23.1316737,46.432984
3397,2018,0,0,1,1,0,0,898,0.022770398,0.557874763,0,0,0,0,0.954248366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.954248366,6.899723107,0.730175671,0.452785607,-0.099553039,Village,23.3670825,45.98339545
