ID,SIRUTA,Yhat.HET
1400,166235,0.01889465
1348,163002,-0.079669508
1392,165719,-0.063915272
1352,163253,-0.064490921
1347,162924,-0.096896329
1331,161856,-0.057718688
1338,162381,-0.055868315
1379,164892,-0.088143736
1360,163734,-0.042468899
1357,163618,-0.093222096
1335,162149,-0.086170751
1394,165899,-0.071510107
1412,167071,-0.012338847
1346,162871,-0.102151783
1410,166985,-0.032326967
1384,165130,-0.041303684
1359,163681,-0.081478361
1365,164062,-0.01346122
1396,166057,-0.068403187
1401,166315,-0.091790944
1391,165611,-0.05096086
1395,165979,-0.073808393
1330,161829,-0.097649205
1371,164393,-0.05949293
1332,161945,-0.04997267
1339,162452,-0.040864561
1351,163208,-0.101929467
1356,163486,-0.059411578
1383,165069,-0.089122523
1385,165185,-0.089505225
1387,165336,-0.082559908
1380,164936,-0.039649245
1369,164277,-0.095119657
1377,164749,-0.094489776
1367,164197,-0.098904965
1375,164687,-0.024578735
1409,166869,-0.064598689
1364,163967,-0.050471944
1342,162595,-0.041243992
1354,163324,-0.049988659
1333,162014,-0.075677739
1350,163137,-0.097283424
1411,167035,-0.108022314
1344,162791,-0.047767177
1389,165470,-0.0702599
1406,166672,-0.094395889
1343,162693,-0.051458356
1393,165817,-0.083874039
1340,162498,-0.118038448
1370,164339,-0.052283701
1336,162194,-0.051855226
1363,163903,-0.084590771
1388,165416,-0.022709293
1362,163832,-0.07112001
1337,162327,-0.038908876
1349,163057,-0.065376713
1398,166137,-0.060441853
1413,167179,-0.056804693
1381,164981,-0.123051299
1361,163789,-0.064321651
1329,161794,-0.031940348
1378,164829,-0.096576545
1408,166770,-0.075518885
1341,162559,-0.085401304
1386,165274,-0.039805324
1418,167268,-0.022964302
1419,167277,-0.064591054
1355,163379,-0.055220077
1420,167286,-0.094277211
1407,166707,-0.073813386
1405,166636,-0.056270873
1421,167295,-0.082861111
1366,164133,-0.043279905
1415,167231,-0.071688569
1414,167222,-0.035228609
1334,162069,-0.05388196
1422,167302,-0.064340253
1399,166182,-0.030296698
